iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
ABQ,1996,1,-1,7,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,1996,1,47,1,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,1996,1,24.42105263,19,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,1996,1,-1,3,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AVP,1996,1,3,1,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,41.33814944,-75.7242675
BDL,1996,1,-13,2,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,1996,1,10.5,2,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,1996,1,3.5,2,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,1996,1,2,11,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUF,1996,1,-13,1,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BWI,1996,1,6,4,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
BZN,1996,1,24,2,Gallatin ,Bozeman,MT,45.77690139,-111.1530072
CAK,1996,1,7,1,Akron-Canton Regional,Akron,OH,40.91631194,-81.44246556
CHA,1996,1,-6,1,Lovell ,Chattanooga,TN,35.03526833,-85.20378778
CHO,1996,1,9,1,Charlottesville-Albermarle,Charlottesville,VA,38.13863889,-78.45286111
CHS,1996,1,-3,2,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,1996,1,5.5,4,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,1996,1,10,6,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,1996,1,-3,1,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
COS,1996,1,8,1,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CVG,1996,1,6.75,4,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAB,1996,1,2,1,Daytona Beach International,Daytona Beach,FL,29.17991667,-81.05805556
DAL,1996,1,3,4,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,1996,1,0.666666667,3,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,1996,1,15.2,10,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,1996,1,25.42857143,7,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,1996,1,7.333333333,12,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,1996,1,0,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,1996,1,-5.222222222,9,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,1996,1,1,2,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,1996,1,21.14285714,7,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAT,1996,1,3,1,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FLL,1996,1,14.28571429,7,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FSD,1996,1,17,2,Joe Foss ,Sioux Falls,SD,43.58135111,-96.74170028
FWA,1996,1,21.5,2,Fort Wayne International,Fort Wayne,IN,40.97846583,-85.19514639
GEG,1996,1,7,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRR,1996,1,1,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSP,1996,1,3,1,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HOU,1996,1,5.25,4,William P Hobby,Houston,TX,29.64541861,-95.27888889
HRL,1996,1,7,1,Valley International,Harlingen,TX,26.22850611,-97.65439389
IAD,1996,1,-3.5,6,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,1996,1,5,5,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,1996,1,19,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IDA,1996,1,-3,1,Idaho Falls Regional,Idaho Falls,ID,43.51455556,-112.0701667
ILM,1996,1,27,1,Wilmington International,Wilmington,NC,34.27061111,-77.90255556
IND,1996,1,13,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAN,1996,1,10,2,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,1996,1,0.5,2,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,1996,1,94.5,4,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,1996,1,2.166666667,6,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,1996,1,15.9047619,21,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,1996,1,12.85714286,7,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,1996,1,0,1,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,1996,1,2,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,1996,1,6,2,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,1996,1,25.8,5,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,1996,1,1.5,2,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,1996,1,-1,3,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,1996,1,27.08333333,12,Memphis International,Memphis,TN,35.04241667,-89.97666667
MGM,1996,1,13,1,Montgomery Regional Apt,Montgomery,AL,32.30064417,-86.39397611
MIA,1996,1,9.142857143,7,Miami International,Miami,FL,25.79325,-80.29055556
MOB,1996,1,-1,1,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MSN,1996,1,23,1,Dane County Regional,Madison,WI,43.13985778,-89.33751361
MSP,1996,1,4.5,8,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,1996,1,7.5,2,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAJ,1996,1,19,1,Albert J Ellis,Jacksonville,NC,34.82916444,-77.61213778
OAK,1996,1,15,1,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,1996,1,17.5,4,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,1996,1,2.333333333,3,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,1996,1,7.4,5,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,1996,1,12.11111111,27,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
PBI,1996,1,42.5,4,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,1996,1,1.75,4,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,1996,1,25.44444444,9,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,1996,1,1.769230769,13,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,1996,1,5.307692308,13,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PNS,1996,1,-9,1,Pensacola Regional,Pensacola,FL,30.47330556,-87.18744444
PSP,1996,1,6,2,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,1996,1,6,2,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RAP,1996,1,7,1,Rapid City Regional,Rapid City,SD,44.04532139,-103.0573708
RDU,1996,1,14.5,6,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,1996,1,12,1,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,1996,1,11,1,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROC,1996,1,0,2,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RSW,1996,1,23,1,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,1996,1,9.8,5,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,1996,1,3,1,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SDF,1996,1,2.8,5,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,1996,1,16.44444444,9,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,1996,1,10.42857143,14,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SGF,1996,1,14,1,Springfield-Branson Regional,Springfield,MO,37.24432611,-93.38685806
SHV,1996,1,-10.66666667,3,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,1996,1,2.75,4,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,1996,1,16.71428571,7,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SNA,1996,1,5,1,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
SRQ,1996,1,2,1,Sarasota Bradenton International,Sarasota,FL,27.39533333,-82.55411111
STL,1996,1,4.454545455,11,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,1996,1,-1,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TLH,1996,1,0,1,Tallahassee Regional,Tallahassee,FL,30.39652778,-84.35033333
TPA,1996,1,4.25,4,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,1996,1,13.75,4,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,1996,1,1,1,Tucson International,Tucson,AZ,32.11608333,-110.9410278
ABE,1997,1,6,1,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABQ,1997,1,5.333333333,3,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,1997,1,-2.666666667,3,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,1997,1,5.904761905,21,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,1997,1,11,4,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,1997,1,18,1,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,1997,1,10.33333333,3,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BIL,1997,1,-14.5,2,Billings Logan Intl,Billings,MT,45.8076625,-108.5428611
BIS,1997,1,1,1,Bismarck Municipal,Bismarck,ND,46.77411111,-100.7467222
